LSOA11CD,AverageTravelDistance,AccessibilityViaPublicTransport,OnlineGroceryAvailability
E01000190,18.856,8.086124508,8
E01000191,18.832,9.641977062,8
E01000192,18.545,3.947458218,8
E01000193,18.562,5.548742834,8
E01000194,18.257,4.102945692,8
E01000195,19.179,8.596716162,8
E01000196,16.64,5.140880158,8
E01000197,16.551,8.68581582,8
E01000198,16.768,11.9192025,8
E01000199,16.852,9.603786676,8
E01000200,16.662,10.14458144,8
E01000201,16.478,8.199261803,8
E01000202,16.499,10.59547911,8
E01000203,16.376,9.014856131,8
E01000204,16.863,3.71081355,8
E01000205,16.139,9.663860534,8
E01000206,15.53,12.72489634,8
E01000207,15.913,7.578172465,8
E01000208,15.901,8.5236457,8
E01000209,16.058,6.63541697,8
E01000210,16.079,4.853460191,8
E01000211,16.164,3.809746461,8
E01000212,15.84,8.151111022,8
E01000213,15.428,10.29946319,8
E01000214,15.588,8.626681668,8
E01000215,16.079,10.86432785,8
E01000216,15.941,6.737884992,8
E01000217,16.13,5.793054149,8
E01000218,15.942,7.931243603,8
E01000219,15.947,10.76338239,8
E01000220,15.888,9.107571728,8
E01000221,16.077,12.74746255,7
E01000222,15.905,12.95328445,7
E01000223,15.961,13.58731343,7
E01000224,15.835,12.86674197,7
E01000225,16.26,9.178511835,8
E01000226,18.157,7.884000127,8
E01000227,18.351,10.87689709,8
E01000228,18.712,14.08046553,8
E01000229,18.865,10.20178695,8
E01000230,18.839,6.514275795,8
E01000231,18.71,5.02697094,8
E01000232,18.526,12.04130122,8
E01000233,18.263,10.13962906,8
E01000234,18.232,9.233508729,8
E01000235,18.032,3.757224287,8
E01000236,16.302,8.750529161,8
E01000237,16.457,3.830190664,8
E01000238,16.455,7.359715087,8
E01000239,16.827,9.632851478,8
E01000240,17.095,12.81053966,8
E01000241,16.864,9.160000034,8
E01000242,16.649,8.455144671,8
E01000243,16.612,3.635642234,8
E01000244,16.67,3.627981314,8
E01000245,16.63,3.866383097,8
E01000246,19.389,13.27217008,8
E01000247,19.365,12.03200124,8
E01000248,19.692,3.806341592,8
E01000249,19.84,8.409593992,8
E01000250,19.573,5.073751769,8
E01000251,19.126,7.287104758,8
E01000252,19.153,7.541993138,8
E01000253,19.646,13.2605219,8
E01000254,19.904,8.011699326,8
E01000255,17.595,16.02879287,8
E01000256,17.633,9.865607921,8
E01000257,17.428,4.745285266,8
E01000258,18.019,5.170312769,8
E01000259,17.247,9.734112237,8
E01000260,17.471,9.746460541,8
E01000261,18.272,12.25066266,8
E01000262,17.562,12.61125784,8
